,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
40,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-03-31,10-K,2016-02-25,,,-32448000.0,-12308000.0,1127316000.0,,,
35,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-12-31,10-K,2014-02-24,1299184000.0,,-82043000.0,-50994000.0,1613100000.0,199566136.0,1409228000.0,5683521000.0
36,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-12-31,10-K,2015-02-26,1299184000.0,,-82043000.0,-50994000.0,1613100000.0,199566136.0,1409228000.0,5683521000.0
37,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-12-31,10-K,2016-02-25,1299184000.0,,-43378000.0,139660000.0,6478547000.0,,,
38,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-12-31,10-K,2017-02-23,1299184000.0,,,,,,,
33,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-09-30,10-K,2014-02-24,,,43774000.0,126037000.0,2262236000.0,,,
34,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-09-30,10-K,2015-02-26,,,43774000.0,126037000.0,2262236000.0,,,
31,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-06-30,10-K,2014-02-24,,,58130000.0,97806000.0,1679513000.0,,,
32,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-06-30,10-K,2015-02-26,,,58130000.0,97806000.0,1679513000.0,,,
29,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-03-31,10-K,2014-02-24,,,-63239000.0,-33189000.0,923698000.0,,,
30,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-03-31,10-K,2015-02-26,,,-63239000.0,-33189000.0,923698000.0,,,
25,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-12-31,10-K,2013-02-26,1001055000.0,,-159717000.0,-126319000.0,1437227000.0,190853380.0,1355418000.0,5290806000.0
26,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-12-31,10-K,2014-02-24,1001055000.0,,-159717000.0,-126319000.0,1437227000.0,190853380.0,1355418000.0,5290806000.0
27,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-12-31,10-K,2015-02-26,1001055000.0,,-163227000.0,-21639000.0,5819047000.0,,,
28,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-12-31,10-K,2016-02-25,1001055000.0,,,,,,,
23,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-09-30,10-K,2013-02-26,,,57948000.0,104515000.0,1963146000.0,,,
24,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-09-30,10-K,2014-02-24,,,57948000.0,104515000.0,1963146000.0,,,
21,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-06-30,10-K,2013-02-26,,,7692000.0,42968000.0,1550677000.0,,,
22,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-06-30,10-K,2014-02-24,,,7692000.0,42968000.0,1550677000.0,,,
19,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-03-31,10-K,2013-02-26,,,-69150000.0,-42803000.0,867997000.0,,,
