,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
54,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-03-31,10-K,2016-02-24,,,,1032300000.0,4497500000.0,,,,
49,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-12-31,10-K,2014-02-25,118000000.0,18377000000.0,1480000000.0,678000000.0,3773000000.0,,16085000000.0,56414000000.0,40328000000.0
50,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-12-31,10-K,2015-02-20,118000000.0,18377000000.0,,678000000.0,3773000000.0,,16085000000.0,56414000000.0,40328000000.0
51,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-12-31,10-K,2016-02-24,117500000.0,,,2822500000.0,14813500000.0,,,56321000000.0,
52,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-12-31,10-K,2017-02-28,117500000.0,,,,,,,,
47,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-09-30,10-K,2014-02-25,,,,875000000.0,4176000000.0,,,,
48,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-09-30,10-K,2015-02-20,,,,875000000.0,4176000000.0,,,,
45,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-06-30,10-K,2014-02-25,,,,547000000.0,3582000000.0,,,,
46,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-06-30,10-K,2015-02-20,,,,547000000.0,3582000000.0,,,,
43,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-03-31,10-K,2014-02-25,,,,755000000.0,3826000000.0,,,,
44,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-03-31,10-K,2015-02-20,,,,755000000.0,3826000000.0,,,,
39,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-12-31,10-K,2013-02-26,279000000.0,17757000000.0,1259000000.0,249000000.0,3613000000.0,,15237000000.0,54367000000.0,39130000000.0
40,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-12-31,10-K,2014-02-25,279000000.0,17757000000.0,1259000000.0,249000000.0,3613000000.0,,15237000000.0,54367000000.0,39130000000.0
41,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-12-31,10-K,2015-02-20,279000000.0,,,2656000000.0,14945000000.0,,,,
42,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-12-31,10-K,2016-02-24,278700000.0,,,,,,,,
37,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-09-30,10-K,2013-02-26,,,,912000000.0,4156000000.0,,,,
38,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-09-30,10-K,2014-02-25,,,,912000000.0,4156000000.0,,,,
35,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-06-30,10-K,2013-02-26,,,,741000000.0,3551000000.0,,,,
36,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-06-30,10-K,2014-02-25,,,,741000000.0,3551000000.0,,,,
33,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-03-31,10-K,2013-02-26,,,,754000000.0,3625000000.0,,,,
34,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-03-31,10-K,2014-02-25,,,,754000000.0,3625000000.0,,,,
29,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-12-31,10-K,2012-02-28,221000000.0,16516000000.0,1946000000.0,343000000.0,3444000000.0,,14664000000.0,52223000000.0,37558000000.0
30,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-12-31,10-K,2013-02-26,221000000.0,16516000000.0,1946000000.0,343000000.0,3444000000.0,,14664000000.0,52223000000.0,37558000000.0
31,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-12-31,10-K,2014-02-25,221000000.0,,1946000000.0,2782000000.0,15116000000.0,,,,
