,ticker,company,end_date,form,filed,cash,eps_basic,eps_diluted,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
23,AME,"AMETEK, Inc.",2010-12-31,10-K,2014-02-26,163208000.0,,,,,,,,,,
18,AME,"AMETEK, Inc.",2010-09-30,10-K,2011-02-24,,0.49,0.48,,77357000.0,128593000.0,,,,,
19,AME,"AMETEK, Inc.",2010-09-30,10-K,2012-02-23,,,,,77357000.0,128593000.0,,,,,
16,AME,"AMETEK, Inc.",2010-06-30,10-K,2011-02-24,,0.43,0.42,,67391000.0,115595000.0,,,,,
17,AME,"AMETEK, Inc.",2010-06-30,10-K,2012-02-23,,,,,67391000.0,115595000.0,,,,,
14,AME,"AMETEK, Inc.",2010-03-31,10-K,2011-02-24,,0.36,0.36,,57945000.0,102446000.0,,,,,
15,AME,"AMETEK, Inc.",2010-03-31,10-K,2012-02-23,,,,,57945000.0,102446000.0,,,,,
10,AME,"AMETEK, Inc.",2009-12-31,10-K,2010-02-25,246356000.0,,,,205770000.0,366050000.0,,,1567024000.0,3246032000.0,1679008000.0
11,AME,"AMETEK, Inc.",2009-12-31,10-K,2011-02-24,246356000.0,1.28,1.27,1041681000.0,205770000.0,366050000.0,,161800000.0,1567024000.0,3246032000.0,1679008000.0
12,AME,"AMETEK, Inc.",2009-12-31,10-K,2012-02-23,246356000.0,,,,205770000.0,366050000.0,,,1567024000.0,,
13,AME,"AMETEK, Inc.",2009-12-31,10-K,2013-02-21,246356000.0,,,,,,,,,,
9,AME,"AMETEK, Inc.",2009-12-30,10-K,2011-02-24,,0.32,0.32,,51884000.0,89193000.0,,,,,
8,AME,"AMETEK, Inc.",2009-09-30,10-K,2011-02-24,,0.27,0.27,,43018000.0,77475000.0,,,,,
7,AME,"AMETEK, Inc.",2009-06-30,10-K,2011-02-24,,0.32,0.32,,51813000.0,93180000.0,,,,,
6,AME,"AMETEK, Inc.",2009-03-31,10-K,2011-02-24,,0.37,0.37,,59055000.0,106202000.0,,,,,
3,AME,"AMETEK, Inc.",2008-12-31,10-K,2010-02-25,86980000.0,,,,246952000.0,432654000.0,,,1287772000.0,3055542000.0,1767770000.0
4,AME,"AMETEK, Inc.",2008-12-31,10-K,2011-02-24,86980000.0,,,,246952000.0,432654000.0,,,1287772000.0,,
5,AME,"AMETEK, Inc.",2008-12-31,10-K,2012-02-23,86980000.0,,,,,,,,,,
1,AME,"AMETEK, Inc.",2007-12-31,10-K,2010-02-25,170139000.0,,,,228020000.0,386574000.0,,,1240707000.0,,
2,AME,"AMETEK, Inc.",2007-12-31,10-K,2011-02-24,170139000.0,,,,,,,,,,
0,AME,"AMETEK, Inc.",2006-12-31,10-K,2010-02-25,49091000.0,,,,,,,,,,
